state_id,eavs_unit_name,eavs_unit_code,name
55,TOWN OF BLOOMFIELD - WAUSHARA COUNTY,5508300000,Town Of Bloomfield (Waushara)
55,TOWN OF BLOOMING GROVE - DANE COUNTY,5508350000,Town Of Blooming Grove (Dane)
55,VILLAGE OF BLOOMINGTON - GRANT COUNTY,5508375000,Village Of Bloomington (Grant)
55,TOWN OF BLOOMINGTON - GRANT COUNTY,5508400000,Town Of Bloomington (Grant)
55,VILLAGE OF BLUE MOUNDS - DANE COUNTY,5508475000,Village Of Blue Mounds (Dane)
55,TOWN OF BLUE MOUNDS - DANE COUNTY,5508500000,Town Of Blue Mounds (Dane)
55,VILLAGE OF BLUE RIVER - GRANT COUNTY,5508525000,Village Of Blue River (Grant)
55,VILLAGE OF BOAZ - RICHLAND COUNTY,5508600000,Village Of Boaz (Richland)
55,VILLAGE OF BONDUEL - SHAWANO COUNTY,5508725000,Village Of Bonduel (Shawano)
55,TOWN OF BONE LAKE - POLK COUNTY,5508750000,Town Of Bone Lake (Polk)
55,CITY OF BOSCOBEL - GRANT COUNTY,5508850000,City Of Boscobel (Grant)
55,TOWN OF BOSCOBEL - GRANT COUNTY,5508875000,Town Of Boscobel (Grant)
55,TOWN OF BOULDER JUNCTION - VILAS COUNTY,5508950000,Town Of Boulder Junction (Vilas)
55,TOWN OF BOVINA - OUTAGAMIE COUNTY,5508975000,Town Of Bovina (Outagamie)
55,VILLAGE OF BOWLER - SHAWANO COUNTY,5509025000,Village Of Bowler (Shawano)
55,VILLAGE OF BOYCEVILLE - DUNN COUNTY,5509050000,Village Of Boyceville (Dunn)
55,VILLAGE OF BOYD - CHIPPEWA COUNTY,5509075000,Village Of Boyd (Chippewa)
55,TOWN OF BRADFORD - ROCK COUNTY,5509175000,Town Of Bradford (Rock)
55,TOWN OF BRADLEY - LINCOLN COUNTY,5509225000,Town Of Bradley (Lincoln)
55,VILLAGE OF BRANDON - FOND DU LAC COUNTY,5509300000,Village Of Brandon (Fond Du Lac)
55,TOWN OF BRAZEAU - OCONTO COUNTY,5509375000,Town Of Brazeau (Oconto)
55,TOWN OF BREED - OCONTO COUNTY,5509425000,Town Of Breed (Oconto)
55,TOWN OF BRIDGE CREEK - EAU CLAIRE COUNTY,5509500000,Town Of Bridge Creek (Eau Claire)
55,TOWN OF BRIDGEPORT - CRAWFORD COUNTY,5509550000,Town Of Bridgeport (Crawford)
55,TOWN OF BRIGHAM - IOWA COUNTY,5509600000,Town Of Brigham (Iowa)
55,TOWN OF BRIGHTON - KENOSHA COUNTY,5509635000,Town Of Brighton (Kenosha)
55,TOWN OF BRIGHTON - MARATHON COUNTY,5509650000,Town Of Brighton (Marathon)
55,CITY OF BRILLION - CALUMET COUNTY,5509725000,City Of Brillion (Calumet)
55,TOWN OF BRILLION - CALUMET COUNTY,5509750000,Town Of Brillion (Calumet)
