state_id,region_id,year,device_model_id,quantity
5,0501100000,2024,27,19
5,0501300000,2024,27,12
5,0501500000,2024,27,46
5,0501700000,2024,27,7
5,0502100000,2024,27,77
5,0502300000,2024,27,77
5,0502500000,2024,27,77
5,0502700000,2024,27,24
5,0502900000,2024,27,38
5,0503100000,2024,27,120
5,0503300000,2024,27,100
5,0503500000,2024,27,69
5,0503700000,2024,27,26
5,0504300000,2024,27,42
5,0504500000,2024,27,115
5,0504700000,2024,27,26
5,0504900000,2024,27,26
5,0505100000,2024,27,140
5,0505300000,2024,27,24
5,0505500000,2024,27,55
5,0505700000,2024,27,29
5,0505900000,2024,27,39
5,0506100000,2024,27,20
5,0506300000,2024,27,77
5,0506700000,2024,27,45
5,0506900000,2024,27,148
5,0507100000,2024,27,77
5,0507500000,2024,27,77
5,0507900000,2024,27,19
5,0508100000,2024,27,22
5,0508300000,2024,27,34
5,0508500000,2024,27,72
5,0508700000,2024,27,48
5,0508900000,2024,27,29
5,0509100000,2024,27,77
5,0509300000,2024,27,42
5,0509500000,2024,27,12
5,0509900000,2024,27,20
5,0510100000,2024,27,77
5,0510300000,2024,27,77
5,0510900000,2024,27,20
5,0511100000,2024,27,25
5,0511300000,2024,27,36
5,0511500000,2024,27,60
5,0511700000,2024,27,24
5,0511900000,2024,27,227
5,0512100000,2024,27,42
5,0512300000,2024,27,39
5,0512500000,2024,27,135
5,0512700000,2024,27,17
5,0512700000,2024,27,26
5,0513100000,2024,27,77
5,0513300000,2024,27,25
5,0513500000,2024,27,24
5,0513700000,2024,27,31
5,0513900000,2024,27,48
5,0514100000,2024,27,41
5,0514100000,2024,38,10
5,0514300000,2024,27,331
5,0514500000,2024,27,150
5,0514700000,2024,27,21
5,0514900000,2024,27,40
6,0600300000,2024,27,2
6,0600500000,2024,27,10
6,0600700000,2024,19,45
6,0601100000,2024,19,6
6,0601300000,2024,19,352
6,0601500000,2024,23,20
6,0601700000,2024,19,41
6,0601900000,2024,19,180
6,0602100000,2024,19,10
6,0602300000,2024,48,40
6,0602500000,2024,19,76
6,0602700000,2024,19,10
6,0602900000,2024,19,136
6,0603100000,2024,19,60
6,0603300000,2024,48,20
6,0603500000,2024,27,9
6,0603700000,2024,75,11144
6,0603900000,2024,19,37
6,0604100000,2024,19,63
6,0604300000,2024,19,12
6,0604500000,2024,48,21
6,0604700000,2024,27,43
6,0604900000,2024,27,8
6,0605100000,2024,23,10
6,0605300000,2024,19,131
6,0605500000,2024,19,58
6,0605700000,2024,48,27
6,0605900000,2024,48,596
6,0606100000,2024,19,116
6,0606300000,2024,19,1
6,0606500000,2024,19,1520
6,0606700000,2024,19,272
6,0606900000,2024,19,23
6,0607100000,2024,19,939
6,0607300000,2024,19,2722
6,0607500000,2024,19,515
6,0607700000,2024,48,171
6,0608100000,2024,19,357
6,0608300000,2024,19,129
6,0608500000,2024,19,774
6,0608700000,2024,19,90
6,0608900000,2024,48,65
6,0609100000,2024,48,1
6,0609300000,2024,23,19
6,0609500000,2024,48,78
6,0609700000,2024,19,93
6,0609900000,2024,48,98
6,0610100000,2024,19,28
6,0610300000,2024,19,28
6,0610500000,2024,48,4
6,0610700000,2024,19,67
6,0610900000,2024,19,17
6,0611100000,2024,19,175
6,0611300000,2024,48,40
6,0611500000,2024,19,31
6,0600100000,2024,100.0,603
6,0600900000,2024,48,14
8,0800100000,2024,19,199
8,0800300000,2024,19,2
8,0800500000,2024,19,135
8,0800700000,2024,19,4
8,0800900000,2024,19,2
8,0801100000,2024,19,2
8,0801300000,2024,19,54
8,0801400000,2024,19,35
8,0801500000,2024,19,4
8,0801700000,2024,19,2
8,0801900000,2024,19,4
8,0802100000,2024,19,2
8,0802300000,2024,19,3
8,0802500000,2024,19,2
8,0802700000,2024,19,3
8,0802900000,2024,19,12
8,0803100000,2024,19,185
8,0803300000,2024,19,2
8,0803500000,2024,4,63
8,0803700000,2024,19,17
8,0803900000,2024,19,7
8,0804100000,2024,19,110
8,0804300000,2024,19,10
8,0804500000,2024,4,16
8,0804700000,2024,19,2
8,0804900000,2024,19,6
8,0805100000,2024,19,5
8,0805300000,2024,19,1
8,0805500000,2024,19,2
8,0805700000,2024,19,1
8,0805900000,2024,19,192
8,0806100000,2024,19,1
8,0806300000,2024,19,3
8,0806500000,2024,19,3
8,0806700000,2024,19,17
8,0806900000,2024,19,85
8,0807100000,2024,19,3
8,0807300000,2024,19,2
8,0807500000,2024,19,6
8,0807700000,2024,19,28
8,0807900000,2024,19,1
8,0808100000,2024,19,7
8,0808300000,2024,19,10
8,0808500000,2024,19,14
8,0808700000,2024,19,12
8,0808900000,2024,19,9
8,0809100000,2024,19,2
8,0809300000,2024,19,5
8,0809500000,2024,19,4
8,0809700000,2024,19,9
8,0809900000,2024,19,2
8,0810100000,2024,19,18
8,0810300000,2024,19,3
8,0810500000,2024,19,2
8,0810700000,2024,19,10
8,0810900000,2024,19,2
8,0811100000,2024,19,1
