STATE_FIPS,COUNTY_FIPS,CenterX,CenterY
48,005,-94.61156523842291,31.25481966431827
48,309,-97.20193275303788,31.552369712973196
13,181,-82.45110838868574,33.7936393755146
36,089,-75.06903864422833,44.495837555143645
18,179,-85.22128482158622,40.7290646045769
18,171,-87.35344822706524,40.34685452858157
18,089,-87.37642343907474,41.47181523847945
36,097,-76.8751928997509,42.393779967305655
26,159,-86.3060193889892,42.28553537595122
18,157,-86.89410149763299,40.38852857532947
48,277,-95.57115245144662,33.66719790497386
48,289,-95.99590381648197,31.296452725644667
18,091,-86.74249472450084,41.548826230444114
18,057,-86.05203454644565,40.07243072507047
40,081,-96.88090071033398,35.70284357733118
13,145,-84.90894702187506,32.73601655081664
13,251,-81.61192750676013,32.75048458364717
48,433,-100.2533120377759,33.179065482733165
18,129,-87.86859093758986,38.02165938771515
48,311,-98.5678491910668,28.35254741586672
13,297,-83.73383801880735,33.78155574187214
13,129,-84.87592535481768,34.50319831859164
18,031,-85.50123766040687,39.30695195291618
18,037,-86.87984256742294,38.364231896844416
36,031,-73.77316829428852,44.116749249881934
40,063,-96.25026350660842,35.04818084826961
18,143,-85.7474751749271,38.68505424136339
48,435,-100.53820175247895,30.49843562831269
40,101,-95.37918790971443,35.61605879998127
18,137,-85.26248067953173,39.103340403044015
13,147,-82.96425248934383,34.35087984720918
48,157,-95.77090896768239,29.527502644126834
36,103,-72.68679439882804,40.94088349722784
18,161,-84.92514608586062,39.625520024101846
48,367,-97.80510566763745,32.7775811078392
13,293,-84.29930536621237,32.881274650385926
26,033,-84.52543607929958,46.3274434219413
13,013,-83.7127337291928,33.99320880382602
13,183,-81.74560931778568,31.75253129542409
48,271,-100.41798382246186,29.350157329942572
40,115,-94.81042763310823,36.83545629202238
26,037,-84.60151831731487,42.943562238306185
26,149,-85.52775497721987,41.91436358457877
18,047,-85.0602964717428,39.41489202300949
26,071,-88.53040050278415,46.208606089031974
48,149,-96.92000293120506,29.87677621630941
48,045,-101.20860324437507,34.530191422530535
26,131,-89.43424364956763,47.02030820925043
48,203,-94.37143700303248,32.548188722629206
26,013,-88.3524409901669,46.69933357443302
40,131,-95.60436012934898,36.37135587475337
40,015,-98.37503191107085,35.17408702290528
48,383,-101.52302099958007,31.366034791142265
36,041,-74.49715729658998,43.66021995187087
48,083,-99.45361309059216,31.772998293412243
48,357,-100.81566235130946,36.27832152106374
48,103,-102.51544077612104,31.428399750177462
18,005,-85.89765833048378,39.20592445043547
13,223,-84.8673056485657,33.92050968965729
13,079,-83.9863259976391,32.71449201306312
36,027,-73.74290489804767,41.764860647203
48,477,-96.40351309134904,30.214607168612808
26,001,-83.12898283551206,44.68417354033332
48,305,-101.81613683602272,33.17676574897192
