County,Kamala D. Harris Tim Walz,Kamala D. Harris Tim Walz.1,Donald J. Trump JD Vance,Donald J. Trump JD Vance.1,Jill Stein,Claudia De la Cruz,Chase Oliver,Cornel West,Peter Sonski,Shiva Ayyadurai,Chris Garrity,Raymond Anthony Scollin,Andrew O'Donnell,Future Madam Potus,Garry Hubbard,Andre Ramon McNeil Sr,Scattering,Blank,Void,Total Votes,Democratic,Republican
Steuben,14577,836,27489,2288,60.0,8.0,55.0,9.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,242.0,45822.0,15413.0,29777.0
Suffolk,328838,12974,376801,40748,2676.0,200.0,385.0,139.0,75.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,4827.0,3537.0,771213.0,341812.0,417549.0
Sullivan,13468,1081,18362,2024,91.0,9.0,13.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,127.0,35644.0,14549.0,20386.0
Tioga,8933,504,13988,1050,38.0,2.0,32.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,148.0,132.0,24839.0,9437.0,15038.0
Tompkins,30273,4358,10407,947,346.0,79.0,58.0,45.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,384.0,391.0,47307.0,34631.0,11354.0
Ulster,51205,6769,34589,5154,552.0,92.0,77.0,79.0,10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,61.0,100024.0,57974.0,39743.0
Warren,16200,899,16900,1706,52.0,15.0,41.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,257.0,36318.0,17099.0,18606.0
Washington,10538,686,15433,1835,44.0,4.0,28.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,155.0,28897.0,11224.0,17268.0
Wayne,16126,930,23862,3424,32.0,8.0,41.0,9.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,251.0,45015.0,17056.0,27286.0
Westchester,276993,10441,155266,12529,1910.0,186.0,253.0,164.0,84.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7143.0,0.0,464981.0,287434.0,167795.0
Wyoming,4599,330,12685,1427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,146.0,19415.0,4929.0,14112.0
Yates,4125,276,5437,661,17.0,6.0,14.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,82.0,10700.0,4401.0,6098.0
